name,type,company_name,registration_date,status
"IGOR SAMARDZISKI",secretaries,"SOHZE DEVELOPMENTS LIMITED",04/08/2014,NULL
"PETROVIC SLOBODAN",directors,"SAD FINISHING LIMITED",18/05/2010,NULL
"PETROVIC SLOBODAN",shareholders,"SAD FINISHING LIMITED",18/05/2010,NULL
"PETROVIC SLOBODAN","legal representatives","SAD FINISHING LIMITED",18/05/2010,NULL
"PETROVIC SLOBODAN","judicial representatives","SAD FINISHING LIMITED",18/05/2010,NULL
"PETROVIC SLOBODAN",secretaries,"SAD FINISHING LIMITED",18/05/2010,NULL
"DRAGAN PUTNIK",directors,"TRANSENG LIMITED",07/03/2000,NULL
"DRAGAN PUTNIK","judicial representatives","TRANSENG LIMITED",07/03/2000,NULL
"MILENA PUTNIK",secretaries,"TRANSENG LIMITED",07/03/2000,NULL
"SASA TORBAROV",directors,"TGS COMPANY LIMITED",03/09/1996,NULL
"SASA TORBAROV",shareholders,"TGS COMPANY LIMITED",03/09/1996,NULL
"SASA TORBAROV","legal representatives","TGS COMPANY LIMITED",03/09/1996,NULL
"SASA TORBAROV","judicial representatives","TGS COMPANY LIMITED",03/09/1996,NULL
"VLADIMIR KORDIC",directors,"TEDY 82 LIMITED",02/02/1995,NULL
"VLADIMIR KORDIC",shareholders,"TEDY 82 LIMITED",02/02/1995,NULL
"RADMILA BLAGOJEVIC",shareholders,"UNIVERSAL TOURS LIMITED",17/11/2000,NULL
"DRAGOMIR VUKOSAVOVIC",directors,"UNIT-EM LIMITED",22/01/1992,NULL
"DRAGOMIR VUKOSAVOVIC",shareholders,"UNIT-EM LIMITED",22/01/1992,NULL
"DRAGOMIR VUKOSAVOVIC","legal representatives","UNIT-EM LIMITED",22/01/1992,NULL
"DRAGOMIR VUKOSAVOVIC","judicial representatives","UNIT-EM LIMITED",22/01/1992,NULL
"DRAGAN CVETIC",directors,"WASTE RECYCLING CENTRE LIMITED",17/02/2003,NULL
"DRAGAN CVETIC",shareholders,"WASTE RECYCLING CENTRE LIMITED",17/02/2003,NULL
"DRAGAN CVETIC","legal representatives","WASTE RECYCLING CENTRE LIMITED",17/02/2003,NULL
"DRAGAN CVETIC","judicial representatives","WASTE RECYCLING CENTRE LIMITED",17/02/2003,NULL
"DRAGAN CVETIC",secretaries,"WASTE RECYCLING CENTRE LIMITED",17/02/2003,NULL
"DRAGAN CVETIC",directors,"ZOI LIMITED",16/02/2004,NULL
"DRAGAN CVETIC",shareholders,"ZOI LIMITED",16/02/2004,NULL
"EMA CVETIC",shareholders,"ZOI LIMITED",16/02/2004,NULL
"IVAN CVETIC",shareholders,"ZOI LIMITED",16/02/2004,NULL
"DRAGAN CVETIC","legal representatives","ZOI LIMITED",16/02/2004,NULL
"DRAGAN CVETIC","judicial representatives","ZOI LIMITED",16/02/2004,NULL
"DRAGAN CVETIC",secretaries,"ZOI LIMITED",16/02/2004,NULL
"ZDRAVKO MILOSEVIC",directors,"ZETA OCEAN SHIPPING LTD",17/03/1992,NULL
