name,type,company_name,registration_date,status
"MOHAMMED GASSAN A. ALBAKRI","legal representatives","FUTURE NAVIGATION MALTA LIMITED",05/08/2010,NULL
"MOHAMMED GASSAN A. ALBAKRI","judicial representatives","FUTURE NAVIGATION MALTA LIMITED",05/08/2010,NULL
"FAHD MOHAMMED A. ALNOWAISER",directors,"F SQUARED LIMITED",13/05/2016,NULL
"FAISAL MOHAMMAD A ALNOWAISER",directors,"F SQUARED LIMITED",13/05/2016,NULL
"FAHD MOHAMMED A. ALNOWAISER",shareholders,"F SQUARED LIMITED",13/05/2016,NULL
"FAISAL MOHAMMAD A ALNOWAISER",shareholders,"F SQUARED LIMITED",13/05/2016,NULL
"FAHD MOHAMMED A. ALNOWAISER","legal representatives","F SQUARED LIMITED",13/05/2016,NULL
"FAISAL MOHAMMAD A ALNOWAISER","legal representatives","F SQUARED LIMITED",13/05/2016,NULL
"FAHD MOHAMMED A. ALNOWAISER","judicial representatives","F SQUARED LIMITED",13/05/2016,NULL
"FAISAL MOHAMMAD A ALNOWAISER","judicial representatives","F SQUARED LIMITED",13/05/2016,NULL
"MOHAMMAD YOSUF M NAGHI",directors,"Gulf Holdings Limited",23/02/2007,NULL
"MOHAMMAD YOSUF M NAGHI","legal representatives","Gulf Holdings Limited",23/02/2007,NULL
"MOHAMMAD YOSUF M NAGHI","judicial representatives","Gulf Holdings Limited",23/02/2007,NULL
"ALI SAMIR ALSHIHABI",directors,"GREENSTONE LIMITED",05/01/2016,NULL
"ALI SAMIR ALSHIHABI",shareholders,"GREENSTONE LIMITED",05/01/2016,NULL
"ALI SAMIR ALSHIHABI","legal representatives","GREENSTONE LIMITED",05/01/2016,NULL
"ALI SAMIR ALSHIHABI","judicial representatives","GREENSTONE LIMITED",05/01/2016,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF",directors,"GLASGOW REAL ESTATE INVESTMENTS LIMITED",27/11/2014,NULL
"SAUD MOHAMMED Z ALARIFI",shareholders,"GLASGOW REAL ESTATE INVESTMENTS LIMITED",27/11/2014,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF",shareholders,"GLASGOW REAL ESTATE INVESTMENTS LIMITED",27/11/2014,NULL
"ABDULAZIZ ABDULRAMAN M ALYABES",shareholders,"GLASGOW REAL ESTATE INVESTMENTS LIMITED",27/11/2014,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF","legal representatives","GLASGOW REAL ESTATE INVESTMENTS LIMITED",27/11/2014,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF","judicial representatives","GLASGOW REAL ESTATE INVESTMENTS LIMITED",27/11/2014,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"JEBEL ALI LIMITED",17/01/2011,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","JEBEL ALI LIMITED",17/01/2011,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","JEBEL ALI LIMITED",17/01/2011,NULL
"MOHAMMED RASHEED M ALRAYYAN",shareholders,"JASMINE OF THE SEA LIMITED",17/06/2015,NULL
"PRINCE KHALID SAUD KHALID AL SAUD",shareholders,"KASAK LIMITED",16/10/2015,NULL
"MEHREZ MOSTAFA TAIBAH",shareholders,"MGM PAYMENT SOLUTIONS LIMITED",26/01/2012,NULL
"ABDULRAHMAN HASSAN A SHARBATLY",shareholders,"MEMPHIS HOTEL RESOURCES LTD",04/10/2012,NULL
"ABDUALLAH JAMEEL A TAIBAH",shareholders,"Megawatt Power Holdings Limited",06/01/2011,NULL
"MOHAMMAD YOSUF M NAGHI",directors,"MEDINA FAST FERRIES LIMITED",23/02/2007,NULL
"MOHAMMAD YOSUF M NAGHI","legal representatives","MEDINA FAST FERRIES LIMITED",23/02/2007,NULL
"MOHAMMAD YOSUF M NAGHI","judicial representatives","MEDINA FAST FERRIES LIMITED",23/02/2007,NULL
"NASR OMAR M AL-HUTAMI",shareholders,"MEDICAL LINE LIMITED",25/06/2014,NULL
"ABDULLAH NASSR O ALHUTAMI",shareholders,"MEDICAL LINE LIMITED",25/06/2014,NULL
"KHALID HAMAD AL-SUWAILEM",shareholders,"MC TELECOMMUNICATIONS LTD",11/02/2014,NULL
"MUSAED HAMAD AL-SUWAILEM",shareholders,"MC TELECOMMUNICATIONS LTD",11/02/2014,NULL
"MOHAMMED ALI AL SEGAIH",directors,"MALTA-SAUDI ARABIA PETROLUBE CO. LTD",13/06/1995,NULL
"MOHAMMED ALI AL SEGAIH","legal representatives","MALTA-SAUDI ARABIA PETROLUBE CO. LTD",13/06/1995,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"MALIK AL ASHTAR LIMITED",21/07/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","MALIK AL ASHTAR LIMITED",21/07/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","MALIK AL ASHTAR LIMITED",21/07/2010,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF",directors,"MAINZ REAL ESTATE INVESTMENT LIMITED",19/12/2012,NULL
"SAUD MOHAMMED Z ALARIFI",shareholders,"MAINZ REAL ESTATE INVESTMENT LIMITED",19/12/2012,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF",shareholders,"MAINZ REAL ESTATE INVESTMENT LIMITED",19/12/2012,NULL
"ABDULAZIZ ABDULRAMAN M ALYABES",shareholders,"MAINZ REAL ESTATE INVESTMENT LIMITED",19/12/2012,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF","legal representatives","MAINZ REAL ESTATE INVESTMENT LIMITED",19/12/2012,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF","judicial representatives","MAINZ REAL ESTATE INVESTMENT LIMITED",19/12/2012,NULL
"ABDULRAHMAN ABDULLAH AL FAISAL AL SAUD",directors,"NAWARA STUD LIMITED",19/11/2014,NULL
"KHALED ABDULRAHMAN AL FAISAL AL SAUD",directors,"NAWARA STUD LIMITED",19/11/2014,NULL
"ABDULRAHMAN ABDULLAH AL FAISAL AL SAUD",shareholders,"NAWARA STUD LIMITED",19/11/2014,NULL
"ABDULRAHMAN ABDULLAH AL FAISAL AL SAUD","legal representatives","NAWARA STUD LIMITED",19/11/2014,NULL
"KHALED ABDULRAHMAN AL FAISAL AL SAUD","legal representatives","NAWARA STUD LIMITED",19/11/2014,NULL
"ABDULRAHMAN ABDULLAH AL FAISAL AL SAUD","judicial representatives","NAWARA STUD LIMITED",19/11/2014,NULL
"KHALED ABDULRAHMAN AL FAISAL AL SAUD","judicial representatives","NAWARA STUD LIMITED",19/11/2014,NULL
"WALEED NIHAD A. ARAB",shareholders,"NAASCO GROUP LIMITED",07/05/2013,NULL
"ABDULAZIZ MAAN A ALSANEA",shareholders,"OPHELIA LIMITED",13/08/2012,NULL
"SUHA MAAN A ALSANEA",shareholders,"OPHELIA LIMITED",13/08/2012,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"ONAYZAH LIMITED",05/11/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","ONAYZAH LIMITED",05/11/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","ONAYZAH LIMITED",05/11/2010,NULL
"ADEL MOHAMED ORRI",directors,"OMEGA SHIPPING COMPANY LIMITED",14/11/1980,NULL
"IBRAHIM MOHAMED ORRI",directors,"OMEGA SHIPPING COMPANY LIMITED",14/11/1980,NULL
"MOHAMMAD YOSUF M NAGHI",directors,"PENINSULA FAST FERRIES LIMITED",23/02/2007,NULL
"MOHAMMAD YOSUF M NAGHI","legal representatives","PENINSULA FAST FERRIES LIMITED",23/02/2007,NULL
"MOHAMMAD YOSUF M NAGHI","judicial representatives","PENINSULA FAST FERRIES LIMITED",23/02/2007,NULL
"ADNAN BUHULIGAH",directors,"PENDEKAR HOLDINGS (NEPC) LIMITED",07/04/2006,NULL
"ADNAN BUHULIGAH","legal representatives","PENDEKAR HOLDINGS (NEPC) LIMITED",07/04/2006,NULL
"ADNAN BUHULIGAH","judicial representatives","PENDEKAR HOLDINGS (NEPC) LIMITED",07/04/2006,NULL
"MOHAMMED ALI ABALKHAIL",shareholders,"PBB (MALTA) LIMITED",05/11/2013,NULL
"DEEMA ABDULAZIZ A. ALSULAIMAN",directors,"QUICKSILVER MANAGEMENT SERVICES LIMITED",12/12/2014,NULL
"ROLA ABDULAZIZ A. ALSULAIMAN",directors,"QUICKSILVER MANAGEMENT SERVICES LIMITED",12/12/2014,NULL
"SAUDI ABDULAZIZ A. ALSULAIMAN",directors,"QUICKSILVER MANAGEMENT SERVICES LIMITED",12/12/2014,NULL
"DEEMA ABDULAZIZ A. ALSULAIMAN","legal representatives","QUICKSILVER MANAGEMENT SERVICES LIMITED",12/12/2014,NULL
"ROLA ABDULAZIZ A. ALSULAIMAN","legal representatives","QUICKSILVER MANAGEMENT SERVICES LIMITED",12/12/2014,NULL
"SAUDI ABDULAZIZ A. ALSULAIMAN","legal representatives","QUICKSILVER MANAGEMENT SERVICES LIMITED",12/12/2014,NULL
"DEEMA ABDULAZIZ A. ALSULAIMAN","judicial representatives","QUICKSILVER MANAGEMENT SERVICES LIMITED",12/12/2014,NULL
"ROLA ABDULAZIZ A. ALSULAIMAN","judicial representatives","QUICKSILVER MANAGEMENT SERVICES LIMITED",12/12/2014,NULL
"SAUDI ABDULAZIZ A. ALSULAIMAN","judicial representatives","QUICKSILVER MANAGEMENT SERVICES LIMITED",12/12/2014,NULL
"FAHAD AL HARIRI",directors,"STONE INVEST LIMITED",24/03/2016,NULL
"FAHAD AL HARIRI",shareholders,"STONE INVEST LIMITED",24/03/2016,NULL
"FAHAD AL HARIRI","legal representatives","STONE INVEST LIMITED",24/03/2016,NULL
"FAHAD AL HARIRI","judicial representatives","STONE INVEST LIMITED",24/03/2016,NULL
"ABDULAZIZ MAAN A ALSANEA",shareholders,"STARLING LIMITED",13/08/2012,NULL
"SUHA MAAN A ALSANEA",shareholders,"STARLING LIMITED",13/08/2012,NULL
"SALEM ABAID S ALMUZAINI",shareholders,"SKY PRIME MALTA AVIATION SERVICES LTD",31/08/2016,NULL
